Timestamp,ChannelA,ChannelB,Length,Transmittance
10.527000000000001,             ,0.00602,-3.8737415158371036,0.998341625207297
10.592,             ,0.00602,-3.855052790346908,0.998341625207297
10.655999999999999,  8.170e-002 ,0.00602,-3.8366515837104074,0.998341625207297
10.72,  8.170e-002 ,0.00602,-3.8182503770739062,0.998341625207297
10.784,  8.170e-002 ,0.00602,-3.7998491704374056,0.998341625207297
10.847999999999999,  8.170e-002 ,0.00602,-3.7814479638009053,0.998341625207297
10.911,  8.170e-002 ,0.00602,-3.7633342760180994,0.998341625207297
10.975999999999999,  8.170e-002 ,0.00602,-3.744645550527904,0.998341625207297
11.039000000000001,  8.170e-002 ,0.00602,-3.7265318627450976,0.998341625207297
11.136,             ,0.00602,-3.6986425339366518,0.998341625207297
11.2,             ,0.00602,-3.680241327300151,0.998341625207297
11.263,             ,0.00602,-3.662127639517345,0.998341625207297
11.328,             ,0.00603,-3.6434389140271493,1.0
11.392000000000001,             ,0.00603,-3.625037707390648,1.0
11.456,  8.180e-002 ,0.00603,-3.606636500754148,1.0
11.52,  8.180e-002 ,0.00603,-3.588235294117647,1.0
11.584000000000001,  8.180e-002 ,0.00603,-3.569834087481146,1.0
11.648,  8.180e-002 ,0.00603,-3.551432880844646,1.0
11.710999999999999,  8.180e-002 ,0.00603,-3.5333191930618404,1.0
11.775,  8.180e-002 ,0.00603,-3.5149179864253393,1.0
11.84,  8.180e-002 ,0.00603,-3.4962292609351433,1.0
11.936,             ,0.00603,-3.4686274509803923,1.0
12.0,             ,0.00603,-3.4502262443438916,1.0
12.064,             ,0.00603,-3.4318250377073904,1.0
12.128,             ,0.00603,-3.4134238310708898,1.0
12.190999999999999,             ,0.00603,-3.395310143288085,1.0
12.255,  8.180e-002 ,0.00603,-3.3769089366515836,1.0
12.32,  8.180e-002 ,0.00603,-3.3582202111613877,1.0
12.384,  8.180e-002 ,0.00603,-3.3398190045248866,1.0
12.448,  8.180e-002 ,0.00603,-3.321417797888386,1.0
12.512,  8.180e-002 ,0.00603,-3.303016591251885,1.0
